Step	Suggestion	Action	Compliance	Reward	True_mu	Estimated_mu	Temperature	Q_max
260	2.5253	2.5213	0.8828	1.0696	2.2370	2.3662	0.3919	1.0806
261	2.8788	2.6189	0.5401	0.7996	2.2380	2.4206	0.3919	1.0806
262	2.5758	2.5118	0.8436	1.0297	2.2390	2.4544	0.3916	1.0806
263	2.6768	2.5625	0.7512	0.9681	2.2400	2.4687	0.3911	1.0806
264	3.4848	2.4900	0.0982	0.3379	2.2410	2.4685	0.3905	1.0806
265	2.7778	2.6193	0.6501	0.9061	2.2420	2.5016	0.3899	1.0806
266	2.3737	2.3662	0.9747	1.0968	2.2430	2.5160	0.3891	1.0893
267	2.5253	2.4834	0.8881	1.0609	2.2440	2.5167	0.3882	1.0893
268	3.0303	2.5676	0.3965	0.6400	2.2450	2.5331	0.3874	1.0893
269	2.9798	2.6123	0.4459	0.7115	2.2460	2.5353	0.3864	1.0893
270	3.2323	2.4057	0.2331	0.4180	2.2470	2.5238	0.3855	1.0893
271	3.5354	2.3386	0.0832	0.2691	2.2480	2.4957	0.3847	1.0893
272	2.5758	2.5518	0.8520	1.0599	2.2490	2.4997	0.3842	1.0893
273	2.2727	2.2733	0.9992	1.0900	2.2500	2.4708	0.3836	1.0893
274	2.4747	2.4739	0.9277	1.0931	2.2510	2.4692	0.3833	1.0893
275	2.3232	2.3202	0.9924	1.0964	2.2520	2.4393	0.3830	1.0893
276	3.4343	2.1983	0.1233	0.2626	2.2530	2.4225	0.3829	1.0893
277	3.0303	2.6107	0.4050	0.6703	2.2540	2.4352	0.3829	1.0893
278	2.4242	2.4176	0.9579	1.0972	2.2550	2.4202	0.3829	1.0893
279	2.9798	2.5333	0.4557	0.6736	2.2560	2.4123	0.3829	1.0893
280	3.0303	2.6183	0.4078	0.6778	2.2570	2.4336	0.3830	1.0893
281	2.8788	2.5221	0.5610	0.7674	2.2580	2.4520	0.3830	1.0893
282	2.9293	2.5143	0.5097	0.7155	2.2590	2.4482	0.3828	1.0893
283	3.6364	2.2233	0.0583	0.2187	2.2600	2.4432	0.3827	1.0893
284	2.4242	2.4171	0.9608	1.1003	2.2610	2.4375	0.3826	1.0959
285	2.4242	2.4183	0.9613	1.1015	2.2620	2.4473	0.3825	1.0993
286	3.7374	2.3298	0.0384	0.2332	2.2630	2.4605	0.3824	1.0993
287	2.4747	2.4534	0.9355	1.0914	2.2640	2.4448	0.3822	1.0993
288	2.1717	2.1738	0.9870	1.0522	2.2650	2.4204	0.3821	1.0993
289	2.5758	2.5219	0.8660	1.0561	2.2660	2.4192	0.3822	1.0993
290	3.4848	2.2427	0.1081	0.2605	2.2670	2.3817	0.3823	1.0993
291	2.6768	2.5481	0.7783	0.9853	2.2680	2.3843	0.3827	1.0993
292	2.6768	2.5852	0.7793	1.0068	2.2690	2.3914	0.3830	1.0993
293	2.6768	2.6062	0.7802	1.0211	2.2700	2.4297	0.3832	1.0993
294	2.4747	2.4618	0.9396	1.0988	2.2710	2.4341	0.3832	1.0993
295	2.4747	2.4737	0.9402	1.1047	2.2720	2.4397	0.3832	1.0999
296	3.0303	2.5618	0.4231	0.6611	2.2730	2.4629	0.3831	1.0999
297	2.5758	2.5426	0.8723	1.0745	2.2740	2.4718	0.3828	1.0999
298	2.5253	2.5130	0.9103	1.0968	2.2750	2.5057	0.3825	1.0999
299	3.0808	2.5727	0.3785	0.6279	2.2760	2.5108	0.3820	1.0999
300	3.7374	2.2971	0.0408	0.2277	2.2770	2.5162	0.3814	1.0999
301	2.6263	2.5713	0.8337	1.0547	2.2780	2.5185	0.3808	1.0999
302	2.8788	2.7088	0.5830	0.9062	2.2790	2.5309	0.3803	1.0999
303	2.8283	2.6217	0.6370	0.8984	2.2800	2.5325	0.3796	1.0999
304	3.1313	2.4953	0.3381	0.5527	2.2810	2.5358	0.3790	1.0999
305	2.7778	2.6366	0.6916	0.9602	2.2820	2.5521	0.3784	1.0999
306	2.3232	2.3236	0.9976	1.1053	2.2830	2.5283	0.3777	1.0999
307	2.4242	2.4255	0.9709	1.1161	2.2840	2.5166	0.3772	1.1094
308	3.4343	2.4426	0.1379	0.3540	2.2850	2.5095	0.3768	1.1094
309	3.6869	2.4576	0.0527	0.2928	2.2860	2.4980	0.3764	1.1094
310	3.9899	2.3705	0.0129	0.2290	2.2870	2.5054	0.3762	1.1094
311	2.4747	2.4636	0.9490	1.1107	2.2880	2.4946	0.3759	1.1094
312	2.4747	2.4523	0.9496	1.1056	2.2890	2.4689	0.3757	1.1094
313	3.0303	2.6300	0.4395	0.7178	2.2900	2.4698	0.3757	1.1094
